;;2015=100;in (%);in (%)
1993;January;70.7;+4.6;+1.7
1993;February;71.2;+4.7;+0.7
1993;March;71.4;+4.5;+0.3
1993;April;71.6;+4.5;+0.3
1993;May;71.7;+4.4;+0.1
1993;June;71.9;+4.4;+0.3
1993;July;72.3;+4.6;+0.6
1993;August;72.3;+4.6;-
1993;September;72.2;+4.5;-0.1
1993;October;72.2;+4.5;-
1993;November;72.3;+4.2;+0.1
1993;December;72.5;+4.3;+0.3
1994;January;72.8;+3.0;+0.4
1994;February;73.4;+3.1;+0.8
1994;March;73.5;+2.9;+0.1
1994;April;73.6;+2.8;+0.1
1994;May;73.8;+2.9;+0.3
1994;June;73.9;+2.8;+0.1
1994;July;74.0;+2.4;+0.1
1994;August;74.2;+2.6;+0.3
1994;September;74.0;+2.5;-0.3
1994;October;73.9;+2.4;-0.1
1994;November;74.0;+2.4;+0.1
1994;December;74.2;+2.3;+0.3
1995;January;74.5;+2.3;+0.4
1995;February;74.9;+2.0;+0.5
1995;March;74.9;+1.9;-
1995;April;75.0;+1.9;+0.1
1995;May;75.0;+1.6;-
1995;June;75.1;+1.6;+0.1
1995;July;75.3;+1.8;+0.3
1995;August;75.3;+1.5;-
1995;September;75.3;+1.8;-
1995;October;75.1;+1.6;-0.3
1995;November;75.1;+1.5;-
1995;December;75.3;+1.5;+0.3
1996;January;75.5;+1.3;+0.3
1996;February;76.0;+1.5;+0.7
1996;March;76.0;+1.5;-
1996;April;76.0;+1.3;-
1996;May;76.1;+1.5;+0.1
1996;June;76.2;+1.5;+0.1
1996;July;76.3;+1.3;+0.1
1996;August;76.3;+1.3;-
1996;September;76.3;+1.3;-
1996;October;76.3;+1.6;-
1996;November;76.2;+1.5;-0.1
1996;December;76.5;+1.6;+0.4
1997;January;77.1;+2.1;+0.8
1997;February;77.2;+1.6;+0.1
1997;March;77.2;+1.6;-
1997;April;77.1;+1.4;-0.1
1997;May;77.3;+1.6;+0.3
1997;June;77.4;+1.6;+0.1
1997;July;78.1;+2.4;+0.9
1997;August;78.1;+2.4;-
1997;September;78.0;+2.2;-0.1
1997;October;77.9;+2.1;-0.1
1997;November;77.9;+2.2;-
1997;December;78.1;+2.1;+0.3
1998;January;78.1;+1.3;-
1998;February;78.2;+1.3;+0.1
1998;March;78.1;+1.2;-0.1
1998;April;78.2;+1.4;+0.1
1998;May;78.3;+1.3;+0.1
1998;June;78.4;+1.3;+0.1
1998;July;78.7;+0.8;+0.4
1998;August;78.5;+0.5;-0.3
1998;September;78.3;+0.4;-0.3
1998;October;78.2;+0.4;-0.1
1998;November;78.2;+0.4;-
1998;December;78.3;+0.3;+0.1
